seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.05051163396988855,6576,0.6748783454987834,0.030923603953641847,0.03368296061745499,0.5400281247415005,345,,,,,,,
0,expgrad_dp,0.05051163396988855,6576,0.6733576642335767,0.020952003143931246,0.01991556171251402,0.6771700322755706,361,0.009971600809710601,0.23349196906603276,0.4666666666666667,0.6923076923076923,28.0,32.0,4.63768115942029
0,expgrad_dp_floor,0.05051163396988855,6576,0.67411800486618,0.01883244477729252,0.01073729577588671,0.7045284006631183,360,0.012091159176349328,0.2888418728727807,0.46875,0.7115384615384616,30.0,34.0,4.3478260869565215
1,baseline,0.05259727563058072,6576,0.6756386861313869,0.03285111557654805,0.04752732150317743,0.533568458177607,360,,,,,,,
1,expgrad_dp,0.05259727563058072,6576,0.6733576642335767,0.02275309017299037,0.02762495327308309,0.6555963972053088,363,0.010098025403557684,0.43231633439806155,0.5,0.9090909090909091,24.0,24.0,0.8333333333333334
1,expgrad_dp_floor,0.05259727563058072,6576,0.673205596107056,0.023571327940205992,0.029669943048134223,0.6509005051614319,370,0.00927978763634206,0.31362365161805805,0.4782608695652174,0.7222222222222222,22.0,24.0,2.7777777777777777
2,baseline,0.051554454800234635,6576,0.6729014598540146,0.034091633732009526,0.041526485915957506,0.4675506658946149,314,,,,,,,
2,expgrad_dp,0.051554454800234635,6576,0.6742700729927007,0.02363695009009143,0.015825582162411783,0.6274469701396599,343,0.010454683641918094,0.05567573318202792,0.2909090909090909,0.4528301886792453,16.0,39.0,9.235668789808917
2,expgrad_dp_floor,0.051554454800234635,6576,0.6733576642335767,0.025547778115569138,0.022277195065637592,0.5973295155729562,337,0.008543855616440388,0.06812757648079866,0.34,0.5208333333333334,17.0,33.0,7.32484076433121
3,baseline,0.051228573290751485,6576,0.6725973236009732,0.03165360402779117,0.039087890582052476,0.4964732248171739,314,,,,,,,
3,expgrad_dp,0.051228573290751485,6576,0.6727493917274939,0.020034776031973192,0.021595531807287197,0.6721929026387624,339,0.011618827995817975,0.1502919684737866,0.32142857142857145,0.5,18.0,38.0,7.961783439490445
3,expgrad_dp_floor,0.051228573290751485,6576,0.6725973236009732,0.01974373994349822,0.019156936473382152,0.67540913662268,338,0.011909864084292947,0.1710559083551239,0.3684210526315789,0.52,21.0,36.0,7.643312101910828
4,baseline,0.050707162875578436,6576,0.673205596107056,0.03151642778226794,0.04034566923939574,0.509997982534513,324,,,,,,,
4,expgrad_dp,0.050707162875578436,6576,0.6724452554744526,0.019644750598755777,0.013703630406579154,0.6641822733466426,323,0.011871677183512161,0.49030323849973484,0.4909090909090909,1.0285714285714285,27.0,28.0,-0.30864197530864196
4,expgrad_dp_floor,0.050707162875578436,6576,0.6721411192214112,0.018925502176282603,0.012234756030520919,0.6812351692269264,331,0.012590925605985334,0.392950737610789,0.4339622641509434,0.8055555555555556,23.0,30.0,2.1604938271604937
